DEPARTMENT,VENDOR,DESCRIPTION,CONTRACT_NUMBER,Year,AMOUNT,REASON,ACAN,FID
Facilities,University of Saskatchewan,Saskatoon Field House Landscaping ,20-0522,2020,36772.15,B,,105
WWTP,Johnson Screens Inc.,Raw Water Intake Screen Repair and Replacement,21-0064,2021,77658,E2,,106
WWTP,Johnson Screens Inc.,Raw Water Intake Screen Repair and Replacement,21-0064,2021,181986,E2,,107
Recreation & Community Development,Amanda Klassen,Gordon Howe Campground Manager,21-0085,2021,96000,A,,108
Saskatoon Water,Westburne Electric Supply,Corporate Historian Equipment,21-0087,2021,94242.12,E(3),,109
Fire,Cummins Allison,Rebuild Motor - Fire Engine #22,21-0095,2021,57491.99,C,,110
Sustainability,Saskatchewan Waste Reduction,Deliver 2021 Compost Program,21-0103,2021,34500,J,,111
Technical Services,"Toter c/o Wastequip, LLC",Black and Green Roll Out Carts,21-0114,2021,741926.3,D,,112
Fleet,Sigma Safety Corp,Sign Safety - SPS Car Upfits,21-0124,2021,51566.7,D,,113
IT,Infor Canada Ltd,SmartStream Renewal,21-0126,2021,87680.21,D,,114
Fleet,Joe Johnson Equipment Inc,Trackless Mower Deck ,21-0143,2021,26300,E,,115
Communications,Postmedia Network Inc.,Public Notice Advertising - ACAN,21-0145,2021,125000,E1,Yes,116
City Clerk's,Western Information Management Inc,Documentum Annual Subsciptions,21-0172,2021,36408,"D,F",,117
WTP,A+Air Inc.,WTP Air Compressor Replacement,21-0176,2021,79284,"C, E2",,118
Fleet,Superior Truck Equipment Inc.,Repairs to Unit 1266,21-0189,2021,56934,E,,119
Transit,Labour Ready Inc.,Downtown Bus Terminal Cleaning,21-0190,2021,120000,C,,120
Saskatoon Water,Associated Engineering,Ammonium System Engineering Services,21-0204,2021,39000,C,,121
Recreation & Community Development,Western Fitness Equipment,Fitness Equipment for Shaw ,21-0231,2021,86650,K,,122
S L & P,Richards Manufacturing Co Sales,ETI Test Set,21-0273,2021,29000,D,,123
Saskatoon Water,Sask Energy,SaskEnergy Line Relocations,21-0275,2021,790049,F3,,124
Facilities - Project Services,HBI Office Plus Inc.,Haworth Premise Office Furniture - Standing Offer,21-0276,2021,350000,"D, E",,125
Fleet,Finning Canada ,Caterpillar Parts,21-0292,2021,225225.2,E2,,126
Fusion,Sodales Solutions Inc,Sodales implementation of (SaaS) for EHSEM and LR Extension to SAP,21-0295,2021,317070,E1,,127
S L & P,Survalent Technology,Outage Portal Survalent License,21-0296,2021,31250,D,,128
Technical Services,Lafrentz Road Marking,Roadsaver,21-0301,2021,27000,E1,,129
S L & P,SaskPower,SaskPower S/I 3PH Transformer,21-0306,2021,54000,"D, E3",,130
C & D,Forterra,PCCP Pipe,21-0307,2021,33110,E1,,131
Fire,Everbridge Inc,Mass Notification for Fire EMO,21-0308,2021,43199.09,"D, F2",,132
Fusion,Fokis Services Inc,Consulting Services for Fusion,21-0309,2021,30000,D,,133
C & D,ISN Software Canada Ltd,ISN Annual Renewal,21-0314,2021,45000,"D, E(1)",,134
Sustainability,Saskatchewan Environmental Society,Student Action for Sustainable Future,21-0322,2021,194000,J(2),,135
Fleet,Frontline Truck and Trailer,Freightliner Parts and Service,21-0336,2021,125000,E,,136
IT,CentralSquare,Software Upgrade FDM WIN 6,21-0339,2021,39490,D,,137
S L & P,Hitachi Energy,ABB 15Kv Capacitor Banks,21-0345,2021,271495,E,,138
Roadways & Support Services,Canadian Pacific Railway Company,CP Flagging ,21-0346,2021,58830,E,,139
Technical Services,Garnett Industries Ltd.,Primary Water Main Repairs & Linestop,21-0351,2021,331797,C,,140
WWTP,John Brooks Company Ltd.,Digester Sludge Seepex Pump End Only,21-0360,2021,55966.68,"D, E",,141
Community Services,University of Saskatchewan,U of S Ground Work for Field House,21-0361,2021,29800,,,142
WWTP,Suer & Pollon Mechanical,WWTP Bioreactor Denitrification Pump Mounting Sleeve Replacement,21-0377,2021,35650,C,,143
WWTP,Howden Roots LLC,Blower Inspections,21-0385,2021,40763,F3,,144
Technical Services,SaskPower,SaskPower New Electrical Service Installation at New Fire Station No. 5,21-0395,2021,59882.28,"E3, J1",,145
S L & P,Honeywell ,AMI Metering,21-0413,2021,3000000,,,146
Transportation,Canadian National Rail,Monthly Public Railway Crossing Maintenance ,21-0440,2021,98380,"E3,F3, F5",,147
Transportation,Canadian Pacific Railway Company,Monthly Public Railway Crossing Maintenance ,21-0441,2021,129200,"E3,F3, F5",,148
Transportation,Miovision Technologies Inc,Miovision - Monthly Processing Fees,21-0442,2021,45000,"D, E2",,149
City Clerk's,Open Text Corporation,Documentum License Maintenance,21-0443,2021,250000,F3,,150
Fleet,Viking Cives Ltd.,Direct Liquid Application Components,19-0435,2019,40634.77,E,,151
Human Resources,The Conference Board of Canada,Conference Board of Canada Annual Subscription,21-0445,2021,41755,E1,,152
S L & P,Elster Solutions Canada Inc.,Electricity Meters,19-0443,2019,103278,K,,153
WTP,Xylem Water Solutions,Flygt Submersible Pump,19-0449,2019,30345.19,E,,154
Saskatoon Water,Rockwell Automation Canada Ltd.,Plant PAX Upgrade,19-0454,2019,35331.3,F,,155
Saskatoon Land,SNC-Lavalin Inc. Environment & Geoscience,Environmental Consulting Services - Former Transit Site,19-0465,2019,150405.6,D,,156
IT,Computronix Canada Ltd,Posse Platform Changes - ACAN,19-0468,2019,207600,"D, E",Yes,157
IT,Long View Systems Corp,Adobe Licensing,19-0480,2019,101732,C,,158
Fire,Motorola Solutions Canada Inc.,Motorola Radios,19-0483,2019,45740.38,D,,159
Transit,"Remix Software, Inc.",Remix Software - Planning Software,19-0485,2019,111300,"E, F",,160
S L & P,"Richards Mfg. Company Sales, Inc.",ETI MNPR Relays,19-0489,2019,52947,D,,161
Sustainability,Recollect Systems Inc.,Waste Management Software,19-0493,2019,60747,"D, F",,162
WTP,Layfield Group,Repairs to Chlorine Contact Basin Curtain,19-0514,2019,81404.07,"D, F3",,163
Saskatoon Water,Hach Sales & Service Canada LP,Hach TU5400 Turbidity Meters,19-0528,2019,125250.8,E,,164
S L & P,ABB Inc,Control Boards for MV Vacuum Circuit Breakers,19-0531,2019,103516.4,E,,165
IT,Infor Canada Ltd.,Smartstream Licensing - Infor,19-0536,2019,240563.8,E,,166
IT,Imaginit Canada,Auto CAD Licensing,19-0538,2019,91766.4,"C, D",,167
Organizational Strategy Execution,OVG Faciliites,Site Review Advisory Services,19-0546,2019,38850,H(4),,168
Facilities,Suncorp Valuations Ltd.,Suncorp Building Valuations,19-0547,2019,55222.5,C,,169
IT,Epicor Software Canada Ltd.,Epicor License Renewal,19-0555,2019,148956.2,D,,170
Saskatoon Water,ABS Excavating Ltd.,Emergency Sludge Transfer Pipe Repair,19-0560,2019,80542.2,C,,171
Water & Waste Operations,Geoware Inc.,2020 Geoware Support Renewal,19-0567,2019,41847,D,,172
IT,Vemax Management Inc.,Vemax Software Support,19-0572,2019,30881.31,E,,173
Major Projects & Preservation,AECOM Canada Ltd.,National Transportation Benchmarking Initiative,19-0573,2019,83250,E,,174
Transportation,Electromega Ltd.,TransSuite Maintenance,19-0575,2019,46351.38,D,,175
Fleet,Redhead Equipment,Repairs - Unit 2611,19-0576,2019,46828.16,E1,,176
Fire,Cummins Sales & Service,Rebuild Motor on Engine 8,19-0577,2019,31889.53,E2,,177
Corporate Finance (for Fusion),Pricewaterhouse Coopers LLP,Application Managed Services (AMS) for PWC,19-0578,2019,667500,,,178
Transit,"The Aftermarket Parts Co, LLC DBA NFI Parts C/O T01416C",New Flyer Bus Parts,20-0083,2020,800000,E ,,179
Transit,"Prevost, A Division of Volvo Group Canada Inc.",Prevost/Nova Bus Parts,20-0084,2020,800000,E,,180
IT,Computronix (Canada) Ltd.,POSSE Annual Support 2020,20-0086,2020,42073.27,"D,E,F",,181
IT,SAP Canada Inc.,SAP Enterprise Support - Business Objects,20-0087,2020,29051.25,"D,E,F",,182
Transit,Trapeze Software ULC,TransitMaster Software Maintenance,20-0089,2020,1366327,D,,183
IT,"Digital Designs, Inc.",ePayStubs and DocAgent Hosting & Licensing,20-0090,2020,39446,"D,E,F,",,184
Sustainability,Saskatchewan Waste Reduction Council,2020 Compost Coach Coordination,20-0093,2020,38295,J2,,185
S L & P,Orrocal Enterprises Inc,Landfill Gas Generator Maintenance,20-0095,2020,1350000,A,,186
Saskatoon Water,Power & Mine Supply Co Ltd,Flowserve Mechanical Seals,20-0098,2020,29674.47,E,,187
Water & Waste Operations,Con-Wal Inc. dba Southwestern Sales Company,Tarp Deployment System,20-0114,2020,55875.6,D,,188
S L & P,Conly Compression,Landfill Gas Generator Critical Maintenance Work,20-0131,2020,43098.78,"A,E1,F3",,189
Transit,Trapeze Software ULC,Trapeze INFO-SMS Software,20-0132,2020,74598.66,D,,190
Technical Services,Shugarman Architecture & Design Inc.,Advisory Services - Pre-Feasibility & Physical Fit Assessment,20-0136,2020,55000,H4,,191
Transit,Trapeze Software ULC,Trapeze - ViewPoint Subscription Fees,20-0137,2020,192746,F,,192
Fleet,Assetworks,AssetWorks FleetFocus M5 Software Renewal,20-0143,2020,49055.9,E1,,193
IT,"Receiver General for Canada - Innovation, Science & Economic Dev.",Radio Frequency Licensing,20-0179,2020,360000,E3,,194
Sustainability,Partners for the Sask River Basin,Yellow Fish Road Program,20-0184,2020,104500,J2,,195
Parks,Schwinghamer's Tree Service Ltd.,Landscaping Repairs to Kinsmen Park,21-0446,2021,37200,C,,196
S L & P,Elster Metering,Electricity Meters,20-0189,2020,128105.8,E,,197
Facilities - Project Services,Richelieu Building Specialties,Panel Covers for Partition Walls at TCU Place,20-0193,2020,54279,D,,198
Fleet,Wachs Canada,Valve Turners & Controllers,20-0198,2020,70889.48,"D,E,",,199
C & D,ThinkReliability,Cause Mapping Workshop,20-0202,2020,28990,"D, E ",,200
WTP,John Brooks Company Ltd,Sand Separator Units - ACAN,20-0208,2020,613505.9,D a),Yes,201
Purchasing,The City of Regina,KN95 Respirator Masks,20-0211,2020,300000,C,,202
Technical Services,Lafrentz Road Marking,Supply of Asphalt Crack Sealant - Roadsaver,22-0323,2022,37762.2,E1,,203
Community Services,Globe BMX Raceway Inc,Lakewood BMX Bike Upgrades,22-0332,2022,255000,"E1, F1",,204
Technical Services,InfoSense Inc.,NS SL-RAT and Training ,22-0357,2022,35471,E2,,205
Human Resources,SJ SAP Consulting Inc,SAP Consulting Services - Payroll Support,22-0372,2022,105248,C,,206
Transit,Payment in Motion Inc.,Scanners for PIM Transit Cards,22-0373,2022,413000,E2,,207
Transportation,Nova Pole International,Steel Traffic Poles,22-0376,2022,157231,C,,208
C & D,ISN Software Canada Ltd.,ISN Annual Renewal,22-0390,2022,45000,E,,209
Sustainability,MyHeat Inc.,MyHeat Solar Map Web App,22-0406,2022,122000,D,,210
Transportation,Payment in Motion Inc.,Mobile Tablets,22-0416,2022,99300,E,,211
S L & P,GE Multilin,Feeder Protection Relays,22-0420,2022,51339.9,"D, E3",,212
Fire,Rocky Mountain Phoenix,SCBA Washer,22-0429,2022,52333,E,,213
Fire,Everbridge Inc.,Mass Notification System,22-0433,2022,43199.09,D ,,214
Sustainability,ReCollect Systems Inc.,Routerware - Recollect,22-0435,2022,71528.77,E2,,215
IT,Vermont Systems Inc.,RecTrac Support,22-0448,2022,25398.03,"E1, F3",,216
Municipal Engineering,Pacific Flow Control Ltd.,"12"" Mueller Valve Insert",22-0452,2022,37357.45,"C, E1",,217
C & D,SCS Contracting Ltd.,CN Millar Avenue Crossing Upgrade,22-0466,2022,89545,"C, E1",,218
Parks,Superior Sweeping Services Inc. o/a Precision Asphalt,New Pathway and Pave Roadway into Satellite Yard,22-0469,2022,78487.02,C,,219
Facilities Management,J. L. Richards & Associated Ltd.,Consulting Services for Solar PV Study,22-0481,2022,43394,D,,220
Roadways & Support Services,Redhead Equipment,Emergency Purchase of Grader Blades - Redhead Ohio,22-0484,2022,71630.37,C,,221
Roadways & Support Services,Triod Supply Ltd.,Emergency Purchase of Grader Blades - Triod,22-0486,2022,59300,C,,222
Fleet,Fer-Marc Equipment Ltd.,SNO RID Hydraulic Scraping Attachment,22-0488,2022,28000,D,,223
Organization Strategy Execution,Mitacs Inc.,Systemic Barriers Project,22-0489,2022,75000,"E, G, H, I",,224
Fire,CentralSquare Technologies,CAD Workstation Annual Maintenance 2023,22-0492,2022,56031.01,"C, F3",,225
S L & P,Tazmech Ltd.,Landfill Generator Bare Head Core Refurbishment,22-0498,2022,49061.12,E1,,226
Recreation & Community Development,Wright Construction,Gordon Howe Sports Complex Upgrades Summary,22-0509,2022,4807275,D,,227
