DEPARTMENT,VENDOR,DESCRIPTION,CONTRACT_NUMBER,Year,AMOUNT,REASON,ACAN,FID
Saskatoon Water,Westburne Electric Supply Midwest Div Of Rexel Canada Electrical Inc,Saskatoon Water Rockwell Supply,25-0219,2025,1500000,E3,,535
C & D,ISN Software Canada Ltd.,ISN Annual Renewal,24-0367,2024,57950,D,,536
Digital Technology ,Horizon Computer Solutions,IBM Disk Expansion,25-0220,2025,28661.12,H2,,537
Facilities Management,Nalco Canada,2024 Fluid Cooler Chemical Delivery,24-0372,2024,25414.12,"E,3",,538
Roadways & Support Services,Western Asphalt,NS Supply of MC-30 Oil,25-0288,2025,53000,A,,539
Fire,Everbridge Inc.,Mass Notification System,24-0378,2024,43199.09,D,,540
Corporate Revenue,Elster Solutions Canada,NS Yearly Maintenance for AMI Head End,25-0289,2025,123315.2,E1,,541
IT,Modaxo Inc.,Trapeze Annual Maintenance and Support,24-0384,2024,311598,D,,542
Assessors,Avenu Insights & Analytics,Avenu Insights & Analytics Software Maintenance 2025,25-0297,2025,56351.42,"D,a",,543
HR,CPAS Systems Inc.,NS CPAS Systems,24-0386,2024,26712,"D1,2",,544
Water & Waste Operations,Vermeer Canada Inc.,Service and Repair of Compost Turner,25-0298,2025,36000,"F,3",,545
Fleet,Brandt Tractor Ltd.,Repairs to Unix X2237 2016 John Deere 772G Motor Grader,25-0307,2025,26557.95,E1,,546
Saskatoon Water,Anthratec Western Inc.,"Design, Supply and Delivery of Underdrain System",25-0306,2025,3958700,"D, a",,547
Saskatoon Land,Marsh Canada Ltd.,Insurance Package - Deed Properties,25-0310,2025,29783,"G, 1",,548
S L & P,Rexel Utility,Horstmann iHost Solo Software,25-0313,2025,73579.4,"D, a",,549
Parks,RST Maintenance Inc.,Berm Mowing,25-0139,2025,54031.64,K,,550
Digital Technology ,Info-Tech Research Group Inc,CIO Membership,25-0316,2025,110000,"D, a",,551
Facilities Management,Mikkelsen Coward Ltd.,Building Controls and Automation Support,25-0237,2025,701250,D / E,,552
Planning & Development,The Pepsi Bottling Group,Water Bottle Program,25-0377,2025,34210.4,C,,553
WTP,Integrated Power Services Inc.,Supply of Toshiba 5KV VFD Power Module,25-0324,2025,68609,D / E,,554
Solicitors Office,Marsh Canada Ltd.,Insurance Premiums 2025 - 2026,25-0332,2025,773987,B,,555
Corporate Revenue,N. Harris Computer Corporation,Smartworks Web Portal,25-0333,2025,98608.85,E1,,556
Communications & Public Engagement,Rawlco Radio Ltd,Radio Commercials,25-0335,2025,35275,E1,,557
Communications & Public Engagement,Harvard Broadcasting,Radio Commercials,25-0335,2025,6375,E1,,558
Communications & Public Engagement,Saskatoon Media Group,Radio Commercials,25-0335,2025,11900,E1,,559
Saskatoon Water,Xylem,Heavy Grit 3102 Replacement / Spare Parts,25-0337,2025,42100.2,C,,560
Saskatoon Water,SaskEnergy,SaskEnergy Construction Services,25-0342,2025,340428,F3,,561
Recreation and Community Development,SurveyMonkey Europe,Grant Management System,25-0340,2025,28426.8,E1,,562
Human Resources,CTIP Center for Trauma Informed Practices,Trauma Response Trainings,25-0349,2025,25902.3,D,,563
Sustainability,Saskatchewan Environmental Society,SASF 2025-2026 Program,25-0370,2025,68000,J2,,564
Saskatoon Water,Summit Valve & Controls Ltd,Replacement of Rotork Electric Actuators,25-0352,2025,61230,"C,D,E,F",,565
S L & P,Survalent Technologies,NS Survalent Annual Maintenance Plan,25-0356,2025,41055,"D, E2",,566
Fleet,Brandt Tractor Ltd.,John Deere Heavy Equipment Parts and Services,25-0299,2025,175000,E,,567
Recreation and Community Development,Dr. Inoka Gamage Veterinary Prof. (Fairlight Veterinary),Veterinary Care,25-0366,2025,50000,E1,,568
Solicitors Office,Marsh Canada,Aviation Liability Policy Premium,25-0358,2025,34212,B,,569
Technical Services,SaskPower,SaskPower Work,25-0363,2025,48752.37,E3,,570
S L & P,Esri Canada Ltd.,ArcFM 11 Licenses,25-0364,2025,50880,E1,,571
Digital Technology ,Vontas,Vontas Hardware and Software Maintenance 5 Yr,25-0365,2025,1799399,F3,,572
Fleet,Falcon Equipment,Knuckle Boom Truck Rental,25-0367,2025,71400,E1,,573
Fire,Rocky Mountain Phoenix,Fire Foam,25-0378,2025,86400,E1,,574
Finance,TD Global Investment Solutions,External Investment Manager,25-0103,2025,1675600,G,,575
Water & Waste Operations,Geoware Inc.,Geoware Professional Services,25-0392,2025,141720,Da,,576
Digital Technology ,Modaxo Inc,Trapeze Scheduling Services,25-0399,2025,27440,C1,,577
Transit,Transit Professionals On Demand Inc.,Bus Inspections,25-0407,2025,54240,E1,,578
Sustainability,FoodMesh,Love Food Hate Waste Campaign,25-0412,2025,25000,E,,579
Technical Services,Viterra Canada Inc.,Crossing Upgrades Fairlight Dr. at Viterra Crossing,25-0419,2025,100000,E3,,580
City Clerks,Gravity Holdings Ltd,Catering Services for Council Committee Meetings 2025,25-0422,2025,25000,D,,581
Corporate Revenue,SaskEnergy,Express Address Billing 2025-2026,25-0425,2025,27522.51,"D, E1, J1",,582
Roadways & Support Services,Nordic Industries 1979 Ltd,City Yards Preventive Maintenance for Automatic Gates,25-0427,2025,50000,"C, D, F3",,583
Transit,Cummins Canada ULC,Cummins Engines,25-0433,2025,1665000,E,,584
Facilities Management,Core HVAC Services Inc.,CSE Mitsubishi Repairs,25-0434,2025,39853.62,E1,,585
Human Resources,CPAS Systems Inc.,CPAS Annual Support,25-0437,2025,31082.66,D,,586
Technical Services,Aim Service Inc.,PipeLogix Software Upgrade,25-0435,2025,62875.64,D,,587
C & D,ISN Software Canada Ltd.,ISN Software Canada Ltd 2025 Renewal,25-0438,2025,65000,D,,588
Digital Technology ,SAP Canada Inc.,SAP Learning Hub License,25-0431,2025,78120,E,,589
Water & Waste Operations,InfoSense Inc.,SL-RAT Equipment,25-0440,2025,34405,E,,590
Roadways & Support Services,Lafrentz Road Marking,Supply of Roadsaver,25-0450,2025,40005,E1,,591
Planning & Development,Morris Interactive,Community Navigation Hub Feasibility Study,25-0455,2025,75000,C,,592
SCM - Procurement,Edgewater Tech Inc.,SAP SCM Services,24-0388,2024,87400,E1,,593
Planning & Development,Community University Institute for Social Research,NS PIT Count Work,24-0389,2024,31685,J1,,594
SCM - Procurement,Polar Oils LP,Corporate Propane Supply,24-0393,2024,212370.9,K,,595
Fire,Priority Dispatch,NG911 ProQA Paramount,24-0402,2024,116063.8,"D(a), E1,E2",,596
Roadways & Support Services,RST Maintenance Inc.,Ditch Mowing,24-0404,2024,32575.2,K,,597
Transit,Pattison Outdoor Advertising,Transit Safety Ads,24-0405,2024,29275,E,,598
Clerks,Elections Ontario,Voting Technology Lease,24-0406,2024,50000,J1,,599
Technical Services,Canadian Pacific Railway Company,Canadian Pacific Kansas City Rail Fairlight Dr. Crossing Upgrade,24-0409,2024,44750.46,E3,,600
WTP,Summit Valve & Controls Ltd.,"8"" Val-matic Well Service Air Valves",24-0413,2024,36729,"C, E",,601
IT,SAP Canada Inc.,SAP SF/WFS Licensing,24-0418,2024,2181740,"E1, F3",,602
Transit,Payment in Motion Inc.,Disposable Smart Cards,24-0421,2024,30400,D,,603
IT,Microsoft Licensing GP,Microsoft EA SCE,24-0427,2024,9763161,"E1,2,3",,604
IT,Shaw Business,SIP Trunk Services,24-0429,2024,140000,"D a,b,",,605
Communications & Public Engagement,Pattison Outdoor Advertising,Outdoor Advertising,24-0431,2024,32505,E1,,606
Corporate Revenue,SaskEnergy,SaskEnergy ExpAdress Billing,24-0432,2024,29714.23,D,,607
IT,SAP Canada Inc.,SAP Learning Hub,24-0433,2024,114417,"D a,b,",,608
Transportation,CN Railway Company,CN Backlights at 51st Street,24-0435,2024,84554,"E3, K",,609
Sustainability,Saskatchewan Environmental Society,Student Action for a Sustainable Future Program,24-0448,2024,72000,J2,,610
Fleet,Leslie Emergency Vehicles,Police Interceptor,24-0452,2024,66056.16,C,,611
IT,Active Network,Upgrade Payment Manager 2.0,24-0454,2024,626400,"Da,b",,612
Technical Services,Top Shot Concrete Systems,NS Taylor Street Crumpled Steel Liner Removal from Storm Pipe ,24-0461,2024,66150,E1,,613
Fleet,Sigma Safety Corp,Upfits for Seven (7) SPS Vehicles,24-0466,2024,47204.09,C,,614
Facilities - Project Services,Henry Downing Architects,Consulting Services - 210 Pacific Avenue,24-0468,2024,34060,C,,615
IT,Sodales Solutions,Sodales Licensing Year 1 of 5,24-0476,2024,835050,E1,,616
"Roadways, Fleet and Support Services",Nordic Industries 1979 Ltd,"	
NS Nordic Preventative Maintenance 2024 Q4",24-0481,2024,30000,F3,,617
C & D,Dream Asset Management Corporation,Berm Construction and Seeding,24-0484,2024,3513147,,,618
"Roadways, Fleet and Support Services",Loraas Disposal North Ltd.,NS Roadways Waste Disposal ,24-0487,2024,50000,D,,619
Transit,Nova Bus Inc.,Nova Bus OEM Bus Parts directly from NOVA BUS,24-0488,2024,383936.5,A,,620
Transit,The Gear Centre,Unit 1007 Transmission Overhaul,24-0492,2024,25600,"E1,2",,621
IT,Vermont Systems Inc,Annual Support Contract for RecTrac,24-0495,2024,28695.84,D,,622
IT,Workforce Software Inc.,Workforce Software Service,24-0498,2024,185000,D & E,,623
Fire,Rocky Mountain Phoenix,Service Self Contained Breathing Apparatus,24-0500,2024,125061.7,D,,624
Recreation & Community Development,CWB National Leasing,Golf Cart Purchase,24-0502,2024,104150,Da,,625
Fleet,Global Rental Canada ULC,2x Bucket Trucks Buyout,24-0505,2024,364905,D,,626
Fire,Rocky Mountain Phoenix,Multi-use Washer for Breathing Apparatus,24-0509,2024,38543,E,,627
Saskatoon Water,Cleartech Industries,Clearfoam 0232 Defoamer,24-0511,2024,33587.43,"E, F",,628
Transit,The Gear Centre,Unit 1007 ZF Transmission Rebuild,24-0512,2024,25600,,,629
Saskatoon Water,Skeans Pneumatic & Automation Inc.,Gas Booster Blower,24-0513,2024,28581.61,D,,630
Corporate Revenue,Selectron Technologies Inc.,Renewal for IVR System,24-0523,2024,39675,"Da,b, E1,2",,631
S L & P,Finning Canada,Gas Generator Cylinder Packs,24-0524,2024,145811.3,E1,,632
Facilities Management,Saskatoon Disaster Services,Flood Clean-up,25-0461,2025,30212.73,C,,633
Communications & Public Engagement,"Sprout Social, Inc.",Social Media Management and Analytics Software,25-0464,2025,51725.67,C,,634
Recreation and Community Development,Saskatoon Zoo Foundation,Zoo Foundation Pathway,25-0466,2025,124592.7,H,,635
Recreation and Community Development,Saskatoon Zoo Foundation,S450 Skid Steer with Bucket and Forks,25-0467,2025,35450,H,,636
SCM - Operations,Payment in Motion Inc.,Reloadable and Disposable Smart Cards,25-0468,2025,97386.21,D,,637
Corporate Revenue,Ticket Tracer Corporation,Ticket Tracer 2025 Maintenance and Support,25-0463,2025,33594.91,E1,,638
WWTP,Xylem Canada Co,Supply and Delivery of Flygt Products (Pumps and Parts),25-0469,2025,990000,E,,639
Fire,Everbridge Inc.,Mass Notification System,25-0472,2025,58577.05,D,,640
Transit,Masabi LLC,Masabi Reloadable Cards,25-0475,2025,225000,Da,,641
Digital Technology ,Roger Bell,Trapeze Support Contract Renewal,25-0474,2025,331263,F3,,642
Transportation,WSP,Cycling Facility Design & Engagement Services,25-0479,2025,71300,D,,643
Communications & Public Engagement,Rawlco Radio Ltd,Radio Station Advertisement,25-0249,2025,132156,"E1, K",,644
Communications & Public Engagement,Harvard Broadcasting,Radio Station Advertisement,25-0249,2025,29275,"E1, K",,645
Communications & Public Engagement,Saskatoon Media Group,Radio Station Advertisement,25-0249,2025,94355,"E1, K",,646
Fleet,Finning Canada,Finning Caterpillar Equipment Parts & Service,25-0452,2025,250000,E,,647
Transportation,Canadian Pacific Railway Co,Warning System Repair at Ave I,25-0477,2025,28521.87,E,,648
Fire,Midwest Sportswear,V2 Tactical Pant,25-0492,2025,122200,E1,,649
WTP,John Brooks Co. Ltd.,Seepex GmBH Replacement Parts,25-0494,2025,57593.78,"E, F",,650
Water & Waste Operations,City of Saskatoon EFAP,EFAP Counselling Services,25-0500,2025,40000,"C,D,E3,G2",,651
Planning & Development,OnPurpose Leadership Inc.,Gather Local Market Interim Operations,25-0501,2025,75000,C,,652
Water & Waste Operations,Wachs Canada Ltd,Modular Design Split Frame Pipe Cutter,25-0504,2025,37500,E,,653
Water & Waste Operations,EasyTech Infrastructure Group Ltd,EasyDig Trench Cage,25-0505,2025,39191.13,E,,654
Planning & Development,STC Urban First Nations Services,Public Washroom Trailer Project,25-0511,2025,182000,G3,,655
Planning & Development,STC Urban First Nations Services,Operations of Daytime Drop-in and Navigation Centre,25-0512,2025,82000,G3,,656
Fleet,Saskatoon Motor Products 1973 Ltd,Lease Buyout - Four Evs,25-0515,2025,52499.52,D,,657
Saskatoon Water,HBI Office Plus Inc.,Architectural Walls,25-0520,2025,48624,Da,,658
Recreation and Community Development,Earlys Farm & Garden Centre Inc,Fungicide Supply,25-0522,2025,26215.12,"E2,3",,659
Saskatoon Water,SaskEnergy,SaskEnergy Gas Main Relocation,25-0523,2025,61098.3,F3,,660
Recreation and Community Development,BrettYoung Seeds Ltd.,Supply and Delivery of Turf Protection Matting,25-0524,2025,25730,E1,,661
Saskatoon Water,Canadian National Rail Non Freight Management,CN Flagging Fees,25-0530,2025,78221.7,E3,,662
Fleet,Fer-Marc Equipment Ltd.,Elgin and Vactor Branded Equipment Parts and Service,25-0508,2025,150000,E,,663
Technical Services,3Twenty Rentals,Office Trailer Buyout,25-0529,2025,68000,D,,664
Transportation,Virtue Construction Ltd.,Wet Blasting Services on 23rd Street Bike Lanes,25-0531,2025,35700,E,,665
Saskatoon Land,Core HVAC Services Inc.,HVAC Repairs at 39-23rd Street East,25-0396,2025,87518.67,D,,666
Corporate Revenue,N. Harris Computer Corporation,Crediton Software Maintenance,25-0534,2025,31080.17,E1,,667
Human Resources,NACTATR o/a CTIP,Centre for Trauma,25-0535,2025,27764.41,D,,668
Digital Technology ,Vermont Systems Inc.,RecTrack Maintenance and Support,25-0537,2025,33444.51,E1,,669
Digital Technology ,SpinifexIT North America Inc.,Spinflex Renewal,25-0538,2025,499137.3,D,,670
Fire,Rocky Mountain Phoenix,SCBA Bottles MSA,25-0542,2025,28704,H2,,671
Roadways & Support Services,Caterpillar Financial Services Ltd.,MotorGrader Lease Buyout ,25-0548,2025,489600,D,,672
Fire,Ffun Motor Sports,Sea-Doo Explorer 170 ,25-0554,2025,36867.24,E1,,673
Corporate Revenue,Selectron Technologies,Selectron IVR Renewal,25-0556,2025,26780,D1,,674
Parks,Park N Play,Play Equipment for Parkridge Playground,25-0562,2025,30469.83,D1,,675
Facilities Management,ICR Property Management,325 Ave C Warmup Renovation,25-0563,2025,195599.5,C,,676
Fire,College Clean Restoration Inc,Clean Encampments,25-0566,2025,75000,C,,677
Digital Technology ,Saskatchewan Research Council,Aerial Imagery,25-0569,2025,122486.3,J1,,678
Water & Waste Operations,Aim Service Inc,IBAK CCTV Camera System for Sewer Inspection,25-0570,2025,292600,D,,679
Roadways & Support Services,Rocky Mountain Equipment,Repair Disker,25-0571,2025,29044.11,D,,680
Saskatoon Water,Evoqua Water Technologies Ltd,Evoqua Pumps and Auxiliary Equipment,25-0572,2025,209291.6,E2,,681
Finance,Oracle Canada ULC,2026/2027 Oracle Licensing,25-0574,2025,46088.57,D,,682
Fleet,Redhead Equipment,"Heavy Equipment Parts & Services for Mack, Volvo and Case Brands",25-0552,2025,175000,E,,683
Saskatoon Water,Water Research Foundation,WRF Subscription/Membership,25-0578,2025,36806,"E, F",,684
City Clerks,Open Text Corporation,DCTM license renewal,25-0579,2025,109123.9,F3,,685
IT,GovAI,Annual GovAI Enterprise Subscription,25-0573,2025,222000,E1,,686
